Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : Reading '../results/t13/domain.msh'...
Info    : 17 entities
Info    : 46707 nodes
Info    : 92692 elements
Info    : 92692 elements
Info    : Done reading '../results/t13/domain.msh'
Info    : Done reading '../results/t13/domain.msh'

	Heat conduction with two sinks (multiple) - Task Parallelism

> Path = ../results/t13
> Nbr of triangles = 92612
> Iterations:
i =   0 | cost = 1.8396 | cstr = 1.3151 | nder = 5.6962 | steps =  0 | lagr = 1.8396 | lm = 0.0000 | mu = 0.0000
i =  81 | cost = 2.1729 | cstr = 0.8031 | nder = 2.8966 | steps = 14 | lagr = 6.4177 | lm = 5.3336 | mu = 5.7269
i =  82 | cost = 2.1672 | cstr = 0.8022 | nder = 2.8404 | steps = 12 | lagr = 6.2795 | lm = 5.1747 | mu = 5.5699
i =  83 | cost = 2.1558 | cstr = 0.8016 | nder = 2.7669 | steps = 12 | lagr = 6.1370 | lm = 5.0159 | mu = 5.4124
i =  84 | cost = 2.1513 | cstr = 0.8012 | nder = 2.7467 | steps = 13 | lagr = 6.0033 | lm = 4.8575 | mu = 5.2548
i =  85 | cost = 2.1383 | cstr = 0.8014 | nder = 2.6862 | steps = 12 | lagr = 5.8656 | lm = 4.7002 | mu = 5.0970
i =  86 | cost = 2.1232 | cstr = 0.8019 | nder = 2.6019 | steps = 13 | lagr = 5.7279 | lm = 4.5439 | mu = 4.9396
i =  87 | cost = 2.1113 | cstr = 0.8030 | nder = 2.5550 | steps = 13 | lagr = 5.5967 | lm = 4.3890 | mu = 4.7826
i =  88 | cost = 2.0977 | cstr = 0.8044 | nder = 2.5236 | steps = 14 | lagr = 5.4668 | lm = 4.2357 | mu = 4.6264
i =  89 | cost = 2.0878 | cstr = 0.8065 | nder = 2.5079 | steps = 12 | lagr = 5.3448 | lm = 4.0846 | mu = 4.4712
i =  90 | cost = 2.0808 | cstr = 0.8087 | nder = 2.5316 | steps = 12 | lagr = 5.2269 | lm = 3.9352 | mu = 4.3174
i =  91 | cost = 2.0574 | cstr = 0.8120 | nder = 2.4577 | steps = 13 | lagr = 5.0990 | lm = 3.7894 | mu = 4.1650
i =  92 | cost = 2.0370 | cstr = 0.8151 | nder = 2.4178 | steps = 12 | lagr = 4.9743 | lm = 3.6453 | mu = 4.0147
i =  93 | cost = 2.0196 | cstr = 0.8188 | nder = 2.3958 | steps = 13 | lagr = 4.8560 | lm = 3.5044 | mu = 3.8665
i =  94 | cost = 2.0019 | cstr = 0.8229 | nder = 2.3669 | steps = 12 | lagr = 4.7411 | lm = 3.3668 | mu = 3.7206
i =  95 | cost = 1.9817 | cstr = 0.8274 | nder = 2.3353 | steps = 12 | lagr = 4.6264 | lm = 3.2326 | mu = 3.5775
i =  96 | cost = 1.9759 | cstr = 0.8320 | nder = 2.4508 | steps = 13 | lagr = 4.5284 | lm = 3.1017 | mu = 3.4374
i =  97 | cost = 1.9594 | cstr = 0.8364 | nder = 2.4516 | steps = 13 | lagr = 4.4198 | lm = 2.9735 | mu = 3.3004
i =  98 | cost = 1.9356 | cstr = 0.8408 | nder = 2.3773 | steps = 12 | lagr = 4.3052 | lm = 2.8483 | mu = 3.1664
i =  99 | cost = 1.9129 | cstr = 0.8462 | nder = 2.3347 | steps = 13 | lagr = 4.1979 | lm = 2.7282 | mu = 3.0354
i = 100 | cost = 1.8957 | cstr = 0.8514 | nder = 2.3100 | steps = 13 | lagr = 4.0968 | lm = 2.6113 | mu = 2.9083
i = 101 | cost = 1.8803 | cstr = 0.8575 | nder = 2.3246 | steps = 11 | lagr = 4.0041 | lm = 2.5002 | mu = 2.7848
i = 102 | cost = 1.8744 | cstr = 0.8635 | nder = 2.4602 | steps = 12 | lagr = 3.9223 | lm = 2.3932 | mu = 2.6658
i = 103 | cost = 1.8471 | cstr = 0.8691 | nder = 2.3175 | steps = 14 | lagr = 3.8198 | lm = 2.2896 | mu = 2.5512
i = 104 | cost = 1.8252 | cstr = 0.8754 | nder = 2.2804 | steps = 13 | lagr = 3.7285 | lm = 2.1919 | mu = 2.4408
i = 105 | cost = 1.8031 | cstr = 0.8831 | nder = 2.2537 | steps = 13 | lagr = 3.6452 | lm = 2.1015 | mu = 2.3352
i = 106 | cost = 1.7845 | cstr = 0.8900 | nder = 2.2424 | steps = 12 | lagr = 3.5665 | lm = 2.0158 | mu = 2.2355
i = 107 | cost = 1.7719 | cstr = 0.8971 | nder = 2.3247 | steps = 13 | lagr = 3.4977 | lm = 1.9356 | mu = 2.1412
i = 108 | cost = 1.7541 | cstr = 0.9030 | nder = 2.2521 | steps = 13 | lagr = 3.4233 | lm = 1.8588 | mu = 2.0526
i = 109 | cost = 1.7387 | cstr = 0.9104 | nder = 2.2480 | steps = 13 | lagr = 3.3600 | lm = 1.7897 | mu = 1.9688
i = 110 | cost = 1.7211 | cstr = 0.9175 | nder = 2.2341 | steps = 13 | lagr = 3.2981 | lm = 1.7262 | mu = 1.8910
i = 111 | cost = 1.7007 | cstr = 0.9251 | nder = 2.1641 | steps = 13 | lagr = 3.2396 | lm = 1.6695 | mu = 1.8191
i = 112 | cost = 1.6862 | cstr = 0.9335 | nder = 2.1862 | steps = 14 | lagr = 3.1949 | lm = 1.6208 | mu = 1.7537
i = 113 | cost = 1.6678 | cstr = 0.9401 | nder = 2.1082 | steps = 13 | lagr = 3.1455 | lm = 1.5756 | mu = 1.6953
i = 114 | cost = 1.6495 | cstr = 0.9480 | nder = 2.0581 | steps = 13 | lagr = 3.1054 | lm = 1.5387 | mu = 1.6426
i = 115 | cost = 1.6307 | cstr = 0.9559 | nder = 1.9982 | steps = 13 | lagr = 3.0708 | lm = 1.5086 | mu = 1.5967
i = 116 | cost = 1.6159 | cstr = 0.9628 | nder = 1.9585 | steps = 11 | lagr = 3.0427 | lm = 1.4834 | mu = 1.5577
i = 117 | cost = 1.6006 | cstr = 0.9707 | nder = 1.9164 | steps = 12 | lagr = 3.0231 | lm = 1.4663 | mu = 1.5248
i = 118 | cost = 1.5848 | cstr = 0.9781 | nder = 1.8614 | steps = 13 | lagr = 3.0077 | lm = 1.4552 | mu = 1.4989
i = 119 | cost = 1.5724 | cstr = 0.9842 | nder = 1.8183 | steps = 12 | lagr = 2.9971 | lm = 1.4479 | mu = 1.4795
i = 120 | cost = 1.5601 | cstr = 0.9919 | nder = 1.7881 | steps = 12 | lagr = 2.9977 | lm = 1.4493 | mu = 1.4655
i = 121 | cost = 1.5440 | cstr = 0.9998 | nder = 1.7214 | steps = 13 | lagr = 3.0016 | lm = 1.4579 | mu = 1.4583
i = 122 | cost = 1.5304 | cstr = 1.0070 | nder = 1.6582 | steps = 13 | lagr = 3.0127 | lm = 1.4721 | mu = 1.4581
i = 123 | cost = 1.5187 | cstr = 1.0137 | nder = 1.6042 | steps = 13 | lagr = 3.0304 | lm = 1.4916 | mu = 1.4643
i = 124 | cost = 1.5070 | cstr = 1.0205 | nder = 1.5491 | steps = 12 | lagr = 3.0549 | lm = 1.5172 | mu = 1.4764
i = 125 | cost = 1.4950 | cstr = 1.0265 | nder = 1.4841 | steps = 12 | lagr = 3.0827 | lm = 1.5474 | mu = 1.4944
i = 126 | cost = 1.4804 | cstr = 1.0336 | nder = 1.3927 | steps = 13 | lagr = 3.1173 | lm = 1.5848 | mu = 1.5177
i = 127 | cost = 1.4681 | cstr = 1.0404 | nder = 1.3263 | steps = 14 | lagr = 3.1600 | lm = 1.6278 | mu = 1.5471
i = 128 | cost = 1.4576 | cstr = 1.0456 | nder = 1.2653 | steps = 13 | lagr = 3.2055 | lm = 1.6736 | mu = 1.5824
i = 129 | cost = 1.4484 | cstr = 1.0505 | nder = 1.2075 | steps = 14 | lagr = 3.2560 | lm = 1.7231 | mu = 1.6222
i = 130 | cost = 1.4381 | cstr = 1.0560 | nder = 1.1525 | steps = 13 | lagr = 3.3126 | lm = 1.7780 | mu = 1.6661
i = 131 | cost = 1.4302 | cstr = 1.0602 | nder = 1.1078 | steps = 13 | lagr = 3.3719 | lm = 1.8349 | mu = 1.7146
i = 132 | cost = 1.4241 | cstr = 1.0628 | nder = 1.0719 | steps = 14 | lagr = 3.4311 | lm = 1.8921 | mu = 1.7666
i = 133 | cost = 1.4174 | cstr = 1.0659 | nder = 1.0418 | steps = 13 | lagr = 3.4941 | lm = 1.9524 | mu = 1.8208
i = 134 | cost = 1.4123 | cstr = 1.0682 | nder = 1.0217 | steps = 13 | lagr = 3.5588 | lm = 2.0137 | mu = 1.8774
