Info    : Reading '../results/t14/domain.msh'...
Info    : 9 entities
Info    : 8356 nodes
Info    : 16710 elements
Info    : Done reading '../results/t14/domain.msh'
> Iterations:
i =  76 | cost = -0.0290 | cstr = 1.0085 | nder = 0.0192 | steps = 16 | lagr = -0.0285 | lm = 0.0640 | mu = 0.0471
i =  77 | cost = -0.0300 | cstr = 1.0075 | nder = 0.0195 | steps = 15 | lagr = -0.0295 | lm = 0.0698 | mu = 0.0549
i =  78 | cost = -0.0307 | cstr = 1.0023 | nder = 0.0139 | steps = 16 | lagr = -0.0306 | lm = 0.0663 | mu = 0.0618
i =  79 | cost = -0.0311 | cstr = 0.9994 | nder = 0.0112 | steps = 16 | lagr = -0.0311 | lm = 0.0628 | mu = 0.0639
i =  80 | cost = -0.0316 | cstr = 1.0002 | nder = 0.0104 | steps = 16 | lagr = -0.0316 | lm = 0.0637 | mu = 0.0634
i =  81 | cost = -0.0322 | cstr = 1.0054 | nder = 0.0119 | steps = 16 | lagr = -0.0319 | lm = 0.0742 | mu = 0.0635
i =  82 | cost = -0.0323 | cstr = 1.0010 | nder = 0.0091 | steps = 16 | lagr = -0.0322 | lm = 0.0705 | mu = 0.0685
i =  83 | cost = -0.0325 | cstr = 1.0003 | nder = 0.0082 | steps = 16 | lagr = -0.0325 | lm = 0.0701 | mu = 0.0694
i =  84 | cost = -0.0327 | cstr = 0.9997 | nder = 0.0078 | steps = 16 | lagr = -0.0327 | lm = 0.0691 | mu = 0.0697
i =  85 | cost = -0.0328 | cstr = 1.0001 | nder = 0.0077 | steps = 15 | lagr = -0.0328 | lm = 0.0697 | mu = 0.0694
i =  86 | cost = -0.0330 | cstr = 1.0018 | nder = 0.0080 | steps = 16 | lagr = -0.0329 | lm = 0.0730 | mu = 0.0695
i =  87 | cost = -0.0330 | cstr = 0.9998 | nder = 0.0077 | steps = 16 | lagr = -0.0330 | lm = 0.0708 | mu = 0.0711
i =  88 | cost = -0.0331 | cstr = 1.0014 | nder = 0.0082 | steps = 16 | lagr = -0.0330 | lm = 0.0738 | mu = 0.0710
i =  89 | cost = -0.0331 | cstr = 0.9989 | nder = 0.0082 | steps = 16 | lagr = -0.0332 | lm = 0.0701 | mu = 0.0722
i =  90 | cost = -0.0333 | cstr = 0.9998 | nder = 0.0084 | steps = 16 | lagr = -0.0333 | lm = 0.0710 | mu = 0.0713
i =  91 | cost = -0.0334 | cstr = 1.0017 | nder = 0.0089 | steps = 16 | lagr = -0.0333 | lm = 0.0746 | mu = 0.0711
i =  92 | cost = -0.0334 | cstr = 0.9985 | nder = 0.0095 | steps = 16 | lagr = -0.0335 | lm = 0.0696 | mu = 0.0727
i =  93 | cost = -0.0337 | cstr = 1.0022 | nder = 0.0098 | steps = 16 | lagr = -0.0335 | lm = 0.0757 | mu = 0.0713
i =  94 | cost = -0.0336 | cstr = 0.9997 | nder = 0.0100 | steps = 15 | lagr = -0.0337 | lm = 0.0728 | mu = 0.0733
i =  95 | cost = -0.0338 | cstr = 1.0000 | nder = 0.0106 | steps = 16 | lagr = -0.0338 | lm = 0.0730 | mu = 0.0731
i =  96 | cost = -0.0339 | cstr = 1.0006 | nder = 0.0111 | steps = 16 | lagr = -0.0339 | lm = 0.0742 | mu = 0.0731
i =  97 | cost = -0.0340 | cstr = 1.0001 | nder = 0.0118 | steps = 16 | lagr = -0.0340 | lm = 0.0739 | mu = 0.0736
i =  98 | cost = -0.0342 | cstr = 1.0012 | nder = 0.0126 | steps = 16 | lagr = -0.0341 | lm = 0.0761 | mu = 0.0737
i =  99 | cost = -0.0343 | cstr = 1.0002 | nder = 0.0133 | steps = 16 | lagr = -0.0342 | lm = 0.0752 | mu = 0.0748
i = 100 | cost = -0.0344 | cstr = 1.0012 | nder = 0.0143 | steps = 16 | lagr = -0.0343 | lm = 0.0773 | mu = 0.0750
i = 101 | cost = -0.0345 | cstr = 0.9991 | nder = 0.0151 | steps = 15 | lagr = -0.0345 | lm = 0.0742 | mu = 0.0760
i = 102 | cost = -0.0348 | cstr = 1.0008 | nder = 0.0161 | steps = 15 | lagr = -0.0348 | lm = 0.0768 | mu = 0.0752
i = 103 | cost = -0.0351 | cstr = 1.0000 | nder = 0.0175 | steps = 16 | lagr = -0.0351 | lm = 0.0759 | mu = 0.0759
i = 104 | cost = -0.0355 | cstr = 1.0024 | nder = 0.0190 | steps = 16 | lagr = -0.0353 | lm = 0.0807 | mu = 0.0759
i = 105 | cost = -0.0357 | cstr = 1.0012 | nder = 0.0204 | steps = 16 | lagr = -0.0356 | lm = 0.0805 | mu = 0.0781
i = 106 | cost = -0.0360 | cstr = 0.9998 | nder = 0.0222 | steps = 16 | lagr = -0.0360 | lm = 0.0789 | mu = 0.0792
i = 107 | cost = -0.0365 | cstr = 1.0008 | nder = 0.0244 | steps = 16 | lagr = -0.0365 | lm = 0.0806 | mu = 0.0790
i = 108 | cost = -0.0372 | cstr = 1.0027 | nder = 0.0269 | steps = 16 | lagr = -0.0370 | lm = 0.0851 | mu = 0.0797
i = 109 | cost = -0.0378 | cstr = 1.0022 | nder = 0.0303 | steps = 16 | lagr = -0.0376 | lm = 0.0866 | mu = 0.0821
i = 110 | cost = -0.0387 | cstr = 1.0017 | nder = 0.0348 | steps = 16 | lagr = -0.0385 | lm = 0.0876 | mu = 0.0841
i = 111 | cost = -0.0400 | cstr = 1.0028 | nder = 0.0409 | steps = 16 | lagr = -0.0397 | lm = 0.0912 | mu = 0.0857
i = 112 | cost = -0.0417 | cstr = 1.0049 | nder = 0.0500 | steps = 16 | lagr = -0.0412 | lm = 0.0980 | mu = 0.0882
i = 113 | cost = -0.0442 | cstr = 1.0055 | nder = 0.0656 | steps = 16 | lagr = -0.0437 | lm = 0.1036 | mu = 0.0926
i = 114 | cost = -0.0500 | cstr = 1.0087 | nder = 0.1024 | steps = 16 | lagr = -0.0491 | lm = 0.1149 | mu = 0.0975
i = 115 | cost = -0.0679 | cstr = 1.0211 | nder = 0.1858 | steps = 16 | lagr = -0.0653 | lm = 0.1474 | mu = 0.1052
i = 116 | cost = -0.1056 | cstr = 1.0576 | nder = 0.2194 | steps = 14 | lagr = -0.0951 | lm = 0.2391 | mu = 0.1240
i = 117 | cost = -0.1444 | cstr = 1.0889 | nder = 0.1642 | steps = 15 | lagr = -0.1209 | lm = 0.3522 | mu = 0.1746
i = 118 | cost = -0.1516 | cstr = 1.0570 | nder = 0.1162 | steps = 16 | lagr = -0.1340 | lm = 0.3651 | mu = 0.2512
i = 119 | cost = -0.1469 | cstr = 1.0183 | nder = 0.0808 | steps = 15 | lagr = -0.1410 | lm = 0.3377 | mu = 0.3011
i = 120 | cost = -0.1456 | cstr = 1.0009 | nder = 0.0612 | steps = 15 | lagr = -0.1453 | lm = 0.3192 | mu = 0.3174
i = 121 | cost = -0.1477 | cstr = 0.9963 | nder = 0.0475 | steps = 16 | lagr = -0.1488 | lm = 0.3108 | mu = 0.3182
i = 122 | cost = -0.1513 | cstr = 0.9991 | nder = 0.0342 | steps = 16 | lagr = -0.1515 | lm = 0.3132 | mu = 0.3149
i = 123 | cost = -0.1535 | cstr = 1.0024 | nder = 0.0266 | steps = 16 | lagr = -0.1528 | lm = 0.3190 | mu = 0.3142
i = 124 | cost = -0.1537 | cstr = 1.0023 | nder = 0.0216 | steps = 15 | lagr = -0.1530 | lm = 0.3209 | mu = 0.3163
i = 125 | cost = -0.1532 | cstr = 0.9996 | nder = 0.0177 | steps = 15 | lagr = -0.1534 | lm = 0.3175 | mu = 0.3184
i = 126 | cost = -0.1535 | cstr = 0.9985 | nder = 0.0153 | steps = 16 | lagr = -0.1540 | lm = 0.3149 | mu = 0.3180
i = 127 | cost = -0.1543 | cstr = 1.0028 | nder = 0.0125 | steps = 16 | lagr = -0.1535 | lm = 0.3222 | mu = 0.3167
i = 128 | cost = -0.1532 | cstr = 0.9981 | nder = 0.0109 | steps = 16 | lagr = -0.1538 | lm = 0.3153 | mu = 0.3191
i = 129 | cost = -0.1540 | cstr = 1.0001 | nder = 0.0093 | steps = 16 | lagr = -0.1540 | lm = 0.3176 | mu = 0.3174
i = 130 | cost = -0.1541 | cstr = 0.9996 | nder = 0.0087 | steps = 16 | lagr = -0.1542 | lm = 0.3166 | mu = 0.3175
i = 131 | cost = -0.1545 | cstr = 1.0009 | nder = 0.0081 | steps = 15 | lagr = -0.1542 | lm = 0.3190 | mu = 0.3171
i = 132 | cost = -0.1541 | cstr = 0.9997 | nder = 0.0079 | steps = 16 | lagr = -0.1542 | lm = 0.3174 | mu = 0.3179
i = 133 | cost = -0.1543 | cstr = 1.0006 | nder = 0.0075 | steps = 16 | lagr = -0.1541 | lm = 0.3188 | mu = 0.3177
i = 134 | cost = -0.1539 | cstr = 1.0000 | nder = 0.0074 | steps = 15 | lagr = -0.1539 | lm = 0.3181 | mu = 0.3182
i = 135 | cost = -0.1538 | cstr = 0.9996 | nder = 0.0073 | steps = 16 | lagr = -0.1539 | lm = 0.3174 | mu = 0.3182
i = 136 | cost = -0.1539 | cstr = 1.0002 | nder = 0.0072 | steps = 16 | lagr = -0.1538 | lm = 0.3183 | mu = 0.3178
i = 137 | cost = -0.1536 | cstr = 0.9996 | nder = 0.0072 | steps = 15 | lagr = -0.1537 | lm = 0.3172 | mu = 0.3180
i = 138 | cost = -0.1537 | cstr = 0.9998 | nder = 0.0072 | steps = 16 | lagr = -0.1538 | lm = 0.3172 | mu = 0.3177
i = 139 | cost = -0.1538 | cstr = 1.0001 | nder = 0.0072 | steps = 16 | lagr = -0.1538 | lm = 0.3177 | mu = 0.3175
i = 140 | cost = -0.1538 | cstr = 0.9996 | nder = 0.0073 | steps = 16 | lagr = -0.1540 | lm = 0.3168 | mu = 0.3176
i = 141 | cost = -0.1541 | cstr = 1.0009 | nder = 0.0072 | steps = 16 | lagr = -0.1538 | lm = 0.3190 | mu = 0.3172
i = 142 | cost = -0.1537 | cstr = 0.9989 | nder = 0.0075 | steps = 16 | lagr = -0.1540 | lm = 0.3158 | mu = 0.3180
i = 143 | cost = -0.1542 | cstr = 1.0008 | nder = 0.0071 | steps = 16 | lagr = -0.1539 | lm = 0.3187 | mu = 0.3170
i = 144 | cost = -0.1539 | cstr = 1.0002 | nder = 0.0071 | steps = 16 | lagr = -0.1538 | lm = 0.3182 | mu = 0.3178
i = 145 | cost = -0.1536 | cstr = 0.9994 | nder = 0.0073 | steps = 15 | lagr = -0.1538 | lm = 0.3167 | mu = 0.3179
i = 146 | cost = -0.1540 | cstr = 1.0003 | nder = 0.0071 | steps = 16 | lagr = -0.1539 | lm = 0.3181 | mu = 0.3174
i = 147 | cost = -0.1538 | cstr = 0.9997 | nder = 0.0072 | steps = 16 | lagr = -0.1539 | lm = 0.3172 | mu = 0.3177
> Stopping condition reached!
> Assembly time = 8.711127910999949 s
> Resolution time = 36.69884774399998 s
