Info    : Reading '../results/t09/domain.msh'...
Info    : 13 entities
Info    : 46692 nodes
Info    : 92622 elements
Info    : Done reading '../results/t09/domain.msh'

	Heat conduction 1 - Data Parallelism

> Path = ../results/t09
> Nbr of triangles = 92582
> Iterations:
i = 103 | cost = 3.5135 | cstr = 0.7337 | nder = 2.9137 | steps = 14 | lagr = 2.7665 | lm = 2.5395 | mu = 3.0715
i = 104 | cost = 3.4627 | cstr = 0.7426 | nder = 2.9316 | steps = 12 | lagr = 2.7865 | lm = 2.3702 | mu = 2.8845
i = 105 | cost = 3.4167 | cstr = 0.7534 | nder = 2.9586 | steps = 13 | lagr = 2.8113 | lm = 2.2084 | mu = 2.7012
i = 106 | cost = 3.3686 | cstr = 0.7640 | nder = 2.9798 | steps = 12 | lagr = 2.8288 | lm = 2.0511 | mu = 2.5227
i = 107 | cost = 3.3279 | cstr = 0.7753 | nder = 3.0211 | steps = 12 | lagr = 2.8504 | lm = 1.9002 | mu = 2.3492
i = 108 | cost = 3.2839 | cstr = 0.7850 | nder = 3.0541 | steps = 12 | lagr = 2.8611 | lm = 1.7518 | mu = 2.1814
i = 109 | cost = 3.2400 | cstr = 0.7980 | nder = 3.0830 | steps = 12 | lagr = 2.8730 | lm = 1.6150 | mu = 2.0186
i = 110 | cost = 3.1851 | cstr = 0.8103 | nder = 3.0962 | steps = 12 | lagr = 2.8676 | lm = 1.4839 | mu = 1.8630
i = 111 | cost = 3.1305 | cstr = 0.8238 | nder = 3.1069 | steps = 13 | lagr = 2.8595 | lm = 1.3625 | mu = 1.7146
i = 112 | cost = 3.0953 | cstr = 0.8333 | nder = 3.1651 | steps = 13 | lagr = 2.8606 | lm = 1.2413 | mu = 1.5744
i = 113 | cost = 3.0529 | cstr = 0.8463 | nder = 3.1940 | steps = 13 | lagr = 2.8551 | lm = 1.1333 | mu = 1.4404
i = 114 | cost = 3.0015 | cstr = 0.8598 | nder = 3.1950 | steps = 13 | lagr = 2.8368 | lm = 1.0349 | mu = 1.3151
