Info    : Reading '../results/phiFEM/t01/domain.msh'...
Info    : 9 entities
Info    : 11831 nodes
Info    : 23660 elements
Info    : Done reading '../results/phiFEM/t01/domain.msh'
> Nbr of triangles = 23260
> Iterations:
i =   0 | cost = -0.5619 | cstr = 1.1832 | nder = 0.3314 | steps =  0 | lagr = -0.5619 | lm = 0.0000 | mu = 0.0000 | 
i = 101 | cost = -0.5884 | cstr = 0.9736 | nder = 0.0454 | steps = 15 | lagr = -0.6210 | lm = 1.2068 | mu = 1.2596 | 
i = 102 | cost = -0.5828 | cstr = 0.9689 | nder = 0.0466 | steps = 15 | lagr = -0.6203 | lm = 1.1737 | mu = 1.2358 | 
i = 103 | cost = -0.5803 | cstr = 0.9667 | nder = 0.0482 | steps = 16 | lagr = -0.6194 | lm = 1.1413 | mu = 1.2079 | 
i = 104 | cost = -0.5765 | cstr = 0.9634 | nder = 0.0507 | steps = 16 | lagr = -0.6183 | lm = 1.1048 | mu = 1.1780 | 
i = 105 | cost = -0.5750 | cstr = 0.9622 | nder = 0.0531 | steps = 16 | lagr = -0.6169 | lm = 1.0695 | mu = 1.1452 | 
i = 106 | cost = -0.5749 | cstr = 0.9620 | nder = 0.0566 | steps = 16 | lagr = -0.6157 | lm = 1.0354 | mu = 1.1113 | 
i = 107 | cost = -0.5760 | cstr = 0.9628 | nder = 0.0599 | steps = 16 | lagr = -0.6146 | lm = 1.0031 | mu = 1.0774 | 
i = 108 | cost = -0.5778 | cstr = 0.9642 | nder = 0.0635 | steps = 16 | lagr = -0.6138 | lm = 0.9727 | mu = 1.0442 | 
i = 109 | cost = -0.5814 | cstr = 0.9674 | nder = 0.0671 | steps = 16 | lagr = -0.6134 | lm = 0.9470 | mu = 1.0123 | 
i = 110 | cost = -0.5847 | cstr = 0.9701 | nder = 0.0711 | steps = 16 | lagr = -0.6132 | lm = 0.9235 | mu = 0.9832 | 
i = 111 | cost = -0.5889 | cstr = 0.9736 | nder = 0.0745 | steps = 16 | lagr = -0.6135 | lm = 0.9037 | mu = 0.9565 | 
i = 112 | cost = -0.5931 | cstr = 0.9769 | nder = 0.0778 | steps = 16 | lagr = -0.6141 | lm = 0.8868 | mu = 0.9330 | 
i = 113 | cost = -0.6001 | cstr = 0.9828 | nder = 0.0807 | steps = 16 | lagr = -0.6155 | lm = 0.8779 | mu = 0.9124 | 
i = 114 | cost = -0.6038 | cstr = 0.9861 | nder = 0.0845 | steps = 16 | lagr = -0.6161 | lm = 0.8691 | mu = 0.8970 | 
i = 115 | cost = -0.6104 | cstr = 0.9914 | nder = 0.0853 | steps = 16 | lagr = -0.6179 | lm = 0.8674 | mu = 0.8846 | 
i = 116 | cost = -0.6143 | cstr = 0.9942 | nder = 0.0870 | steps = 14 | lagr = -0.6193 | lm = 0.8654 | mu = 0.8769 | 
i = 117 | cost = -0.6234 | cstr = 1.0016 | nder = 0.0870 | steps = 15 | lagr = -0.6220 | lm = 0.8751 | mu = 0.8718 | 
i = 118 | cost = -0.6299 | cstr = 1.0068 | nder = 0.0863 | steps = 16 | lagr = -0.6239 | lm = 0.8869 | mu = 0.8732 | 
i = 119 | cost = -0.6344 | cstr = 1.0105 | nder = 0.0844 | steps = 15 | lagr = -0.6250 | lm = 0.9003 | mu = 0.8793 | 
i = 120 | cost = -0.6385 | cstr = 1.0134 | nder = 0.0821 | steps = 15 | lagr = -0.6264 | lm = 0.9154 | mu = 0.8886 | 
i = 121 | cost = -0.6462 | cstr = 1.0197 | nder = 0.0803 | steps = 16 | lagr = -0.6281 | lm = 0.9398 | mu = 0.9005 | 
i = 122 | cost = -0.6488 | cstr = 1.0217 | nder = 0.0766 | steps = 16 | lagr = -0.6284 | lm = 0.9613 | mu = 0.9179 | 
i = 123 | cost = -0.6511 | cstr = 1.0236 | nder = 0.0731 | steps = 16 | lagr = -0.6284 | lm = 0.9843 | mu = 0.9370 | 
i = 124 | cost = -0.6516 | cstr = 1.0236 | nder = 0.0703 | steps = 15 | lagr = -0.6284 | lm = 1.0051 | mu = 0.9579 | 
i = 125 | cost = -0.6544 | cstr = 1.0261 | nder = 0.0666 | steps = 15 | lagr = -0.6282 | lm = 1.0308 | mu = 0.9787 | 
