Info    : Reading '../results/t06/domain0.msh'...
Info    : 281 entities
Info    : 19336 nodes
Info    : 38670 elements
Info    : Done reading '../results/t06/domain0.msh'
Info    : Reading '../results/t06/domain.msh'...
Info    : 161 entities
Info    : 6503 nodes
Info    : 13004 elements
Info    : Done reading '../results/t06/domain.msh'

	Elasticity inverse problem (Data Parallelism)

> Path = ../results/t06
> Nbr of triangles = 12713
> Nbr of triangles for data generation = 38193
> Iterations:
i =   0 | cost = 0.078866 | nder = 0.2614 | steps =  0 | 
i = 100 | cost = 0.000013 | nder = 0.0009 | steps = 16 | 
i = 101 | cost = 0.000013 | nder = 0.0011 | steps = 16 | 
i = 102 | cost = 0.000012 | nder = 0.0007 | steps = 16 | 
i = 103 | cost = 0.000012 | nder = 0.0007 | steps = 16 | 
i = 104 | cost = 0.000011 | nder = 0.0006 | steps = 15 | 
i = 105 | cost = 0.000011 | nder = 0.0006 | steps = 15 | 
i = 106 | cost = 0.000010 | nder = 0.0006 | steps = 16 | 
i = 107 | cost = 0.000010 | nder = 0.0006 | steps = 16 | 
i = 108 | cost = 0.000010 | nder = 0.0006 | steps = 16 | 
i = 109 | cost = 0.000010 | nder = 0.0006 | steps = 15 | 
i = 110 | cost = 0.000010 | nder = 0.0010 | steps = 16 | 
i = 111 | cost = 0.000010 | nder = 0.0012 | steps = 15 | 
i = 112 | cost = 0.000010 | nder = 0.0008 | steps = 15 | 
i = 113 | cost = 0.000009 | nder = 0.0005 | steps = 16 | 
i = 114 | cost = 0.000009 | nder = 0.0005 | steps = 16 | 
