Info    : Reading '../results/t11/domain.msh'...
Info    : 9 entities
Info    : 11827 nodes
Info    : 23652 elements
Info    : Done reading '../results/t11/domain.msh'

	Heat conduction with one source - Data Parallelism

> Path = ../results/t11
> Nbr of triangles = 23252
> Iterations:
i = 145 | cost = 0.1075 | cstr = 0.9978 | nder = 0.0232 | steps = 15 | lagr = 0.1074 | lm = 0.0656 | mu = 0.0700
i = 146 | cost = 0.1074 | cstr = 0.9988 | nder = 0.0229 | steps = 16 | lagr = 0.1073 | lm = 0.0657 | mu = 0.0681
i = 147 | cost = 0.1073 | cstr = 0.9989 | nder = 0.0229 | steps = 16 | lagr = 0.1072 | lm = 0.0648 | mu = 0.0671
i = 148 | cost = 0.1071 | cstr = 1.0001 | nder = 0.0216 | steps = 15 | lagr = 0.1072 | lm = 0.0663 | mu = 0.0661
i = 149 | cost = 0.1071 | cstr = 1.0001 | nder = 0.0214 | steps = 16 | lagr = 0.1071 | lm = 0.0663 | mu = 0.0662
i = 150 | cost = 0.1070 | cstr = 1.0010 | nder = 0.0203 | steps = 16 | lagr = 0.1070 | lm = 0.0681 | mu = 0.0662
i = 151 | cost = 0.1068 | cstr = 1.0028 | nder = 0.0186 | steps = 16 | lagr = 0.1069 | lm = 0.0726 | mu = 0.0671
i = 152 | cost = 0.1067 | cstr = 1.0021 | nder = 0.0182 | steps = 16 | lagr = 0.1069 | lm = 0.0737 | mu = 0.0694
i = 153 | cost = 0.1066 | cstr = 1.0021 | nder = 0.0179 | steps = 16 | lagr = 0.1068 | lm = 0.0755 | mu = 0.0713
i = 154 | cost = 0.1066 | cstr = 1.0008 | nder = 0.0176 | steps = 15 | lagr = 0.1067 | lm = 0.0747 | mu = 0.0731
i = 155 | cost = 0.1066 | cstr = 1.0003 | nder = 0.0173 | steps = 16 | lagr = 0.1066 | lm = 0.0743 | mu = 0.0737
i = 156 | cost = 0.1066 | cstr = 0.9992 | nder = 0.0170 | steps = 16 | lagr = 0.1065 | lm = 0.0725 | mu = 0.0740
i = 157 | cost = 0.1065 | cstr = 0.9989 | nder = 0.0167 | steps = 16 | lagr = 0.1064 | lm = 0.0712 | mu = 0.0734
i = 158 | cost = 0.1065 | cstr = 0.9984 | nder = 0.0168 | steps = 16 | lagr = 0.1064 | lm = 0.0692 | mu = 0.0724
i = 159 | cost = 0.1064 | cstr = 0.9986 | nder = 0.0169 | steps = 16 | lagr = 0.1063 | lm = 0.0683 | mu = 0.0710
i = 160 | cost = 0.1063 | cstr = 0.9991 | nder = 0.0165 | steps = 16 | lagr = 0.1063 | lm = 0.0682 | mu = 0.0699
i = 161 | cost = 0.1063 | cstr = 0.9990 | nder = 0.0166 | steps = 16 | lagr = 0.1062 | lm = 0.0671 | mu = 0.0691
i = 162 | cost = 0.1062 | cstr = 0.9985 | nder = 0.0169 | steps = 16 | lagr = 0.1061 | lm = 0.0653 | mu = 0.0683
i = 163 | cost = 0.1062 | cstr = 0.9985 | nder = 0.0172 | steps = 16 | lagr = 0.1061 | lm = 0.0641 | mu = 0.0670
i = 164 | cost = 0.1061 | cstr = 0.9984 | nder = 0.0178 | steps = 16 | lagr = 0.1060 | lm = 0.0625 | mu = 0.0658
i = 165 | cost = 0.1061 | cstr = 0.9984 | nder = 0.0183 | steps = 15 | lagr = 0.1060 | lm = 0.0612 | mu = 0.0644
i = 166 | cost = 0.1060 | cstr = 0.9991 | nder = 0.0179 | steps = 15 | lagr = 0.1059 | lm = 0.0613 | mu = 0.0630
i = 167 | cost = 0.1059 | cstr = 0.9992 | nder = 0.0176 | steps = 15 | lagr = 0.1058 | lm = 0.0607 | mu = 0.0623
i = 168 | cost = 0.1057 | cstr = 1.0000 | nder = 0.0166 | steps = 15 | lagr = 0.1057 | lm = 0.0616 | mu = 0.0616
i = 169 | cost = 0.1057 | cstr = 1.0000 | nder = 0.0163 | steps = 16 | lagr = 0.1057 | lm = 0.0615 | mu = 0.0616
i = 170 | cost = 0.1056 | cstr = 1.0003 | nder = 0.0154 | steps = 15 | lagr = 0.1056 | lm = 0.0621 | mu = 0.0616
i = 171 | cost = 0.1054 | cstr = 1.0018 | nder = 0.0127 | steps = 16 | lagr = 0.1055 | lm = 0.0654 | mu = 0.0618
i = 172 | cost = 0.1053 | cstr = 1.0023 | nder = 0.0113 | steps = 16 | lagr = 0.1055 | lm = 0.0679 | mu = 0.0633
i = 173 | cost = 0.1053 | cstr = 1.0024 | nder = 0.0108 | steps = 16 | lagr = 0.1055 | lm = 0.0701 | mu = 0.0653
i = 174 | cost = 0.1053 | cstr = 1.0026 | nder = 0.0109 | steps = 16 | lagr = 0.1055 | lm = 0.0724 | mu = 0.0673
i = 175 | cost = 0.1053 | cstr = 1.0027 | nder = 0.0113 | steps = 16 | lagr = 0.1055 | lm = 0.0747 | mu = 0.0694
i = 176 | cost = 0.1053 | cstr = 1.0022 | nder = 0.0118 | steps = 16 | lagr = 0.1055 | lm = 0.0761 | mu = 0.0717
i = 177 | cost = 0.1053 | cstr = 1.0021 | nder = 0.0125 | steps = 16 | lagr = 0.1055 | lm = 0.0776 | mu = 0.0735
i = 178 | cost = 0.1054 | cstr = 1.0017 | nder = 0.0130 | steps = 16 | lagr = 0.1055 | lm = 0.0787 | mu = 0.0752
i = 179 | cost = 0.1054 | cstr = 1.0013 | nder = 0.0132 | steps = 16 | lagr = 0.1055 | lm = 0.0792 | mu = 0.0767
i = 180 | cost = 0.1054 | cstr = 1.0013 | nder = 0.0138 | steps = 16 | lagr = 0.1055 | lm = 0.0803 | mu = 0.0777
i = 181 | cost = 0.1054 | cstr = 1.0008 | nder = 0.0138 | steps = 16 | lagr = 0.1055 | lm = 0.0805 | mu = 0.0788
> Stopping condition reached!
